open,high,low,close,volume,News Sentiment,open_APPL,open_AMZN,open_AVGO,open_BRK.B,open_GOOGL,open_GOOG,open_META,open_MSFT,open_NVDA,open_SPY,moving_average,RSI,ema_short,ema_long,MACD,MACD_signal,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,volatility,ATR,daily_return,monthly_return,annual_return
19.94,21.5,19.0,19.89,-0.11490888052652082,-0.19929175078868866,-0.004622101836240233,-0.023853738338793562,-0.011173300598124936,-0.005394906755276985,0.0037693222162920037,0.0,0.0,0.0,11.04,0.002740728921887481,19.50857142857143,34.61538461538461,19.44971076559552,-0.0038435822938116537,-1.4461584797618094,-1.3402512681967793,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.002520161290322509,-0.09198542805100185,0.1146923398911679
20.7,21.3,20.05,20.64,-0.3553617561397928,-0.2148907333612442,0.01974496247648272,0.009527432160777671,0.019582290179501083,-0.0023930989442186856,-0.0470711861111468,0.0,0.0,0.0003920799893397664,10.72,-0.004755381617966847,19.50857142857143,38.18181818181818,19.63283218627313,-0.0009074462541920347,-1.2440837816503212,-1.3210177708874877,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.03770739064856721,-0.09198542805100185,0.1146923398911679
21.37,22.25,20.92,21.91,-0.05279427874827469,-0.23128531873226166,-0.013119895583312946,-0.02420213263148252,-0.0286116968988952,-0.024639020079439078,-0.017438864522881126,0.0,0.0,-0.021795988652493214,10.19,-0.01887721457397351,19.50857142857143,43.40878828229028,19.983165696077265,0.0036588178806824523,-0.9702750149629686,-1.2508692197025841,19.50857142857143,2.676719740919577,24.862010910410582,14.155131946732276,2.676719740919577,3.17565,0.06153100775193798,-0.09198542805100185,0.1146923398911679
21.85,21.85,20.05,20.3,-0.30913174208605376,-0.232962504029274,-0.02833096661724266,0.01866241033257232,-0.0009074410786031883,-0.012616412388888776,4.338206586051996e-05,0.0,0.0,-0.004014457418661799,10.19,-0.011084088680402893,19.25214285714286,39.20625375826819,20.0319094351423,-0.0023126993168052223,-0.8731282602653216,-1.1753210278151318,19.25214285714286,2.380233274189829,24.012609405522518,14.491676308763203,2.380233274189829,2.7756499999999997,-0.07348242811501593,-0.09198542805100185,0.1146923398911679
20.66,20.9,19.5,20.22,-0.3766028031097193,-0.23619982600212097,0.08741955496089027,8.290842768943207e-05,0.006334862813968112,0.02737067323578568,0.04862178991542088,0.0,0.0,0.02933226540295175,10.82,0.029502861032988825,18.994285714285716,39.15915915915916,20.060846445120404,-0.0024302859126876797,-0.793447717294061,-1.0989463657109177,18.994285714285716,2.013430728061755,23.021147170409225,14.967424258162207,2.013430728061755,2.367135714285714,-0.003940886699507429,-0.09198542805100185,0.1146923398911679
20.5,21.25,20.37,21.0,-0.26825784505050976,-0.22726674377918243,-0.02835088594607349,-0.015961563957398006,-0.006334862813968112,-0.013333530869465093,-0.0015921759305737027,0.0,0.0,-0.0035218193317967383,10.48,-0.0064403571585245345,18.925714285714285,46.91516709511568,20.205331607409573,0.0005174106085905628,-0.6597555800112254,-1.0111082085709793,18.925714285714285,1.9187805193191514,22.763275324352588,15.088153247075983,1.9187805193191514,2.037135714285714,0.03857566765578646,-0.09198542805100185,0.1146923398911679
21.19,21.56,21.06,21.29,-0.3821434443627165,-0.21892303228378296,-0.0022922868789949646,-0.11395224755281941,0.03873174974594207,0.009377678074725004,-0.005103745518428404,0.0,0.0,0.012853146760681167,10.53,0.00827286637575142,19.075,57.983193277310924,20.3722036678081,0.0015073652294583795,-0.5243585427667128,-0.9137582754101261,19.075,2.0203760122237697,23.115752024447538,15.03424797555246,2.0203760122237697,1.7635642857142853,0.013809523809523716,-0.09198542805100185,0.1146923398911679
21.5,21.5,20.3,20.95,0.34426657622681134,-0.22101563215255737,0.01125541287157894,0.11015429388006037,-0.00043677659571850214,0.006753768902070689,0.017157536352042868,0.0,0.0,0.00077369442931019,10.33,0.012372792482730155,19.420714285714286,73.40425531914894,20.46109541122224,0.00018940818455126518,-0.43942515412480887,-0.8188916511530627,19.420714285714286,1.8834520854648127,23.18761845664391,15.653810114784662,1.8834520854648127,1.5514214285714278,-0.015969938938468764,-0.09198542805100185,0.1146923398911679
20.91,21.18,20.26,20.55,-0.3975266298045419,-0.20366227626800537,0.003340567930792737,0.0014364783407199155,-0.0017490166242617455,0.0020299423362377667,0.0030316508957133337,0.0,0.0,0.01076933485236431,10.58,0.01409548856889753,19.759999999999998,72.77085330776606,20.47477304026497,-0.0012430612580986988,-0.3997830387600736,-0.735069928674465,19.759999999999998,1.5852735750312323,22.930547150062463,16.589452849937533,1.5852735750312323,1.4992785714285708,-0.019093078758949833,-0.09198542805100185,0.1146923398911679
20.55,20.9,20.51,20.72,-0.2824780584540445,-0.19235444068908691,0.010676122298343138,-0.012148133935647287,-0.020783414456434723,-0.007378229629574129,0.008858370585309139,0.0,0.0,-0.002681480250665391,10.29,-0.0076066409994419715,19.99285714285714,68.23266219239373,20.51250026483959,-0.0005485979691739473,-0.3506072157391529,-0.6581773860874025,19.99285714285714,1.4555645406055102,22.90398622406816,17.08172806164612,1.4555645406055102,1.3878499999999991,0.008272506082724895,-0.09198542805100185,0.1146923398911679
