date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-11-12,346.5,349.4,319.1,323.71,6123678.0,GEV
2024-11-11,347.8,349.79,338.5,349.44,2486591.0,GEV
2024-11-08,336.5,342.79,335.75,341.18,1719992.0,GEV
2024-11-07,339.0,340.41,332.5,336.78,2347594.0,GEV
2024-11-06,321.16,338.58,319.0,336.3,4486408.0,GEV
2024-11-05,295.85,316.4499,294.87,315.77,3461434.0,GEV
2024-11-04,298.0,301.5,292.54,295.46,2070478.0,GEV
2024-11-01,305.0,311.58,300.52,301.09,2702214.0,GEV
2024-10-31,300.0,303.709,296.0201,301.66,2550666.0,GEV
2024-10-30,300.0,301.53,294.67,297.6,2085187.0,GEV
2024-10-29,288.0,298.96,284.1,298.77,2030580.0,GEV
2024-10-28,295.74,295.94,288.0801,289.23,2231616.0,GEV
2024-10-25,295.39,298.81,292.395,293.54,2087779.0,GEV
2024-10-24,285.81,297.54,283.0,297.0,3620065.0,GEV
2024-10-23,273.71,282.97,268.5,279.88,4244597.0,GEV
2024-10-22,271.0,278.29,270.545,276.42,2631832.0,GEV
2024-10-21,277.0,277.6,272.28,276.43,2569958.0,GEV
2024-10-18,273.69,275.3,271.35,272.72,2353706.0,GEV
2024-10-17,279.24,281.3732,271.89,272.0,2510144.0,GEV
2024-10-16,268.9,276.19,267.69,274.77,1844916.0,GEV
2024-10-15,270.0,270.87,260.05,266.36,2190164.0,GEV
2024-10-14,267.26,270.83,265.6901,269.5,1822285.0,GEV
2024-10-11,263.75,270.11,261.05,266.89,1848390.0,GEV
2024-10-10,264.0,266.55,261.79,264.62,1795789.0,GEV
2024-10-09,264.5,269.2977,262.88,266.6,1891695.0,GEV
2024-10-08,264.03,266.556,262.25,264.27,1671943.0,GEV
2024-10-07,265.41,265.98,260.52,262.54,1925059.0,GEV
2024-10-04,257.0,266.42,253.23,265.59,3159216.0,GEV
2024-10-03,253.15,257.24,250.89,254.68,1913736.0,GEV
2024-10-02,251.0,257.5299,248.5,252.29,2769650.0,GEV
2024-10-01,256.0,257.5999,251.1,256.53,2304083.0,GEV
2024-09-30,251.0,255.35,248.96,254.98,3374184.0,GEV
2024-09-27,250.76,254.43,249.58,249.86,2293570.0,GEV
2024-09-26,257.76,258.64,247.07,251.22,2817719.0,GEV
2024-09-25,257.1,257.75,252.17,255.05,2454244.0,GEV
2024-09-24,254.0,257.5,252.12,255.48,3804409.0,GEV
2024-09-23,247.825,254.87,246.79,251.53,3336725.0,GEV
2024-09-20,243.23,250.8494,242.25,245.46,4111410.0,GEV
2024-09-19,243.305,245.0,238.11,244.45,3060826.0,GEV
2024-09-18,238.62,241.5185,234.0,235.67,3255887.0,GEV
2024-09-17,237.67,240.0,233.51,237.15,5143950.0,GEV
2024-09-16,227.88,231.51,225.24,229.93,2334854.0,GEV
2024-09-13,220.65,228.6765,219.01,225.59,3697548.0,GEV
2024-09-12,200.0,217.09,199.65,215.27,4042215.0,GEV
2024-09-11,204.1,210.12,201.5,209.15,3787508.0,GEV
2024-09-10,202.74,203.0,199.14,202.01,1894687.0,GEV
2024-09-09,200.01,202.93,197.38,201.81,1654895.0,GEV
2024-09-06,198.99,201.18,193.38,198.33,3884686.0,GEV
2024-09-05,197.09,200.73,194.27,198.44,3064325.0,GEV
2024-09-04,193.03,204.19,192.1223,199.63,3723058.0,GEV
2024-09-03,200.0,202.6,187.5479,192.55,4275304.0,GEV
